id,code,img,title,album,cnt,regDate,modDate
38164895,랩/힙합,https://cdnimg.melon.co.kr/cm2/album/images/116/30/124/11630124_20241031100530_500.jpg/melon/resize/120/quality/80/optimize,PO￦ER,PO￦ER,163752,2026-03-04T11:05:16.000Z,2026-03-04T11:05:16.000Z
38229421,랩/힙합,https://cdnimg.melon.co.kr/cm2/album/images/116/44/819/11644819_20241119121510_500.jpg/melon/resize/120/quality/80/optimize,Skrr(feat.지젤ofaespa),Skrr(feat.지젤ofaespa),57438,2026-03-04T11:05:16.000Z,2026-03-04T17:42:23.000Z
38242510,랩/힙합,https://cdnimg.melon.co.kr/cm2/album/images/116/47/670/11647670_20241121150855_500.jpg/melon/resize/120/quality/80/optimize,"HOMESWEETHOME(feat.태양,대성)","HOMESWEETHOME(feat.태양,대성)",228631,2026-03-04T11:05:16.000Z,2026-03-04T17:42:23.000Z
38388023,R&B/Soul,https://cdnimg.melon.co.kr/cm2/album/images/116/76/806/11676806_20241223190316_500.jpg/melon/resize/120/quality/80/optimize,시작의아이,시작의아이ハジマリのコ(StartingWithYou),84107,2026-03-04T17:30:44.000Z,2026-03-04T17:30:44.000Z
38426197,댄스,https://cdnimg.melon.co.kr/cm2/album/images/116/85/070/11685070_20250106111631_500.jpg/melon/resize/120/quality/80/optimize,오늘만ILOVEYOU,오늘만ILOVEYOU,183308,2026-03-04T17:30:26.000Z,2026-03-04T17:40:03.000Z
38429074,GN0100,https://cdnimg.melon.co.kr/cm2/album/images/116/85/729/11685729_20250106160640_500.jpg/melon/resize/120/quality/80/optimize,모르시나요(PROD.로코베리),모르시나요,105085,2026-03-04T11:08:29.000Z,2026-03-04T13:01:49.000Z
38444825,댄스,https://cdnimg.melon.co.kr/cm2/album/images/116/89/783/11689783_20250203110601_500.jpg/melon/resize/120/quality/80/optimize,REBELHEART,IVEEMPATHY,118738,2026-03-04T17:30:26.000Z,2026-03-04T17:30:26.000Z
38516958,댄스,https://cdnimg.melon.co.kr/cm2/album/images/116/89/783/11689783_20250203110601_500.jpg/melon/resize/120/quality/80/optimize,ATTITUDE,IVEEMPATHY,70018,2026-03-04T17:30:26.000Z,2026-03-04T17:30:26.000Z
38560939,댄스,https://cdnimg.melon.co.kr/cm2/album/images/117/15/826/11715826_20250324115745_500.jpg/melon/resize/120/quality/80/optimize,IDOME,UNCUTGEM,68161,2026-03-04T17:30:26.000Z,2026-03-04T17:40:03.000Z
38565554,R&B/Soul,https://cdnimg.melon.co.kr/cm2/album/images/117/16/807/11716807_20250217142658_500.jpg/melon/resize/120/quality/80/optimize,춘몽,춘몽,43424,2026-03-04T17:30:44.000Z,2026-03-04T17:30:44.000Z
38583620,GN0100,https://cdnimg.melon.co.kr/cm2/album/images/117/20/961/11720961_20250221135403_500.jpg/melon/resize/120/quality/80/optimize,MYLOVE(2025),MYLOVE(2025),38359,2026-03-04T11:08:29.000Z,2026-03-04T13:01:49.000Z
38583704,댄스,https://cdnimg.melon.co.kr/cm2/album/images/117/20/981/11720981_20250221140928_500.jpg/melon/resize/120/quality/80/optimize,TheChase,TheChase,48621,2026-03-04T17:30:26.000Z,2026-03-04T17:30:26.000Z
38589554,랩/힙합,https://cdnimg.melon.co.kr/cm2/album/images/117/22/169/11722169_20250224160403_500.jpg/melon/resize/120/quality/80/optimize,TOOBAD(feat.Anderson.Paak),Übermensch,155108,2026-03-04T11:05:16.000Z,2026-03-04T17:42:23.000Z
38629386,댄스,https://cdnimg.melon.co.kr/cm2/album/images/117/30/946/11730946_20250307173452_500.jpg/melon/resize/120/quality/80/optimize,likeJENNIE,Ruby,107749,2026-03-04T17:30:26.000Z,2026-03-04T17:40:03.000Z
38635449,GN0100,https://cdnimg.melon.co.kr/cm2/album/images/117/32/247/11732247_20250313092931_500.jpg/melon/resize/120/quality/80/optimize,Flower,교회오빠,82136,2026-03-04T11:08:29.000Z,2026-03-04T13:01:49.000Z
38660167,댄스,https://cdnimg.melon.co.kr/cm2/album/images/117/38/155/11738155_20250314101906_500.jpg/melon/resize/120/quality/80/optimize,HOT,HOT,50111,2026-03-04T17:30:26.000Z,2026-03-04T17:30:26.000Z
38666852,랩/힙합,https://cdnimg.melon.co.kr/cm2/album/images/117/39/571/11739571_20250317113503_500.jpg/melon/resize/120/quality/80/optimize,"19금LOV3(Feat.BryanChase,Okasian)",K-FLIP+,23589,2026-03-04T11:05:16.000Z,2026-03-04T17:42:23.000Z
38725275,트로트,https://cdnimg.melon.co.kr/cm2/album/images/117/54/110/11754110_20250327155523_500.jpg/melon/resize/120/quality/80/optimize,금수저,미스터트롯3TOP7신곡미니앨범,5483,2026-03-04T12:28:38.000Z,2026-03-04T12:28:38.000Z
